#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#95%ile of transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-10.0.14     	1.5000	1.5900	1.7500	3.9400	7.2500	13.710	27.740	59.920	127.79	290.46	543.63
mariadb-10.0.15     	1.5500	1.6300	1.7800	3.9100	7.3100	13.890	28.620	59.780	127.44	331.75	1386.6
mariadb-10.0.16     	1.5900	1.6200	1.7700	3.9100	7.3100	13.920	28.280	60.390	131.16	289.85	1440.3
mariadb-10.0.17     	1.5500	1.6900	1.7800	3.9100	7.3200	14.030	28.360	59.260	132.34	334.94	1272.5
mariadb-10.0.18     	1.6000	1.6500	1.7800	3.9400	7.2600	13.960	28.070	60.140	131.55	408.34	1250.9
mariadb-10.0.19     	1.5300	1.6400	1.7800	3.9500	7.2800	14.120	28.070	59.690	134.14	318.42	1421.5
mariadb-10.0.20     	1.5800	1.6600	1.7800	3.9100	7.2800	13.950	27.910	59.140	130.85	348.23	1406.2
mariadb-10.0.21     	1.5600	1.6900	1.7600	3.9000	7.2800	13.930	28.300	59.850	132.26	297.77	1280.9
mariadb-10.0.22     	1.5700	1.6600	1.8100	3.8900	7.3100	13.990	28.530	60.070	135.27	401.44	1555.0
mariadb-10.0.23     	1.4900	1.6300	1.7800	3.9000	7.3200	13.890	28.010	61.030	129.64	407.73	1387.4
mariadb-10.0.24     	1.5600	1.6900	1.7600	3.8900	7.2300	13.790	27.900	59.210	128.40	451.55	1243.1
mariadb-10.0.25     	1.6100	1.6900	1.8100	3.9900	7.4500	14.140	28.610	60.080	130.26	310.14	1465.1
mariadb-10.0.26     	1.6500	1.6800	1.8000	4.0600	7.4300	14.260	28.550	61.040	132.03	295.28	1506.0
mariadb-10.0.27     	1.6100	1.7300	1.8000	4.0200	7.4500	14.220	28.500	59.600	132.07	527.29	1282.0
mariadb-10.0.28     	1.6100	1.7300	1.8000	3.9800	7.4400	14.340	28.210	60.430	132.11	336.95	1245.3
mariadb-10.0.29     	1.5700	1.6500	1.8200	4.0000	7.4800	14.260	28.620	61.410	132.78	547.88	1633.3
mariadb-10.0.30     	1.6200	1.7300	1.8000	4.0000	7.4400	14.360	29.110	60.750	129.72	347.60	1553.2
mariadb-10.0.31     	1.5700	1.7000	1.8100	4.0500	7.4700	14.380	28.490	60.630	136.45	369.94	1694.5
mariadb-10.0.32     	1.5800	1.7200	1.8100	4.0100	7.4600	14.440	28.760	61.410	140.05	339.79	1275.5
mariadb-10.0.33     	1.4500	1.6500	1.8100	4.0500	7.4700	14.270	28.120	59.980	135.59	323.70	1432.6
mariadb-10.0.34     	1.5300	1.6600	1.8300	4.0200	7.4800	14.330	28.220	60.300	128.67	322.83	1168.4
mariadb-10.1.2      	1.5500	1.6700	1.7500	3.9200	7.2700	14.040	28.030	58.280	129.87	420.12	1455.9
mariadb-10.1.3      	1.5200	1.6600	1.7800	3.9600	7.3700	13.930	27.530	57.380	126.65	290.46	1347.3
