#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.35	0.36	0.44	0.46
2	0.31	0.33	0.34	0.29
4	0.31	0.37	0.40	0.34
8	0.33	0.43	0.44	0.37
16	0.57	0.74	0.74	0.74
32	1.34	1.39	1.39	1.39
64	2.86	2.93	2.95	2.93
128	9.76	9.84	9.90	9.94
256	24.32	24.27	24.21	24.24


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.34	0.44	0.44	0.46
2	0.32	0.37	0.34	0.37
4	0.30	0.42	0.32	0.33
8	0.31	0.53	0.51	0.52
16	0.74	0.96	0.86	0.91
32	1.65	1.75	1.65	1.68
64	3.43	3.60	3.47	3.58
128	10.30	10.25	10.09	10.31
256	23.16	23.22	22.60	23.26


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.38	0.47	0.43	0.44
2	0.34	0.36	0.27	0.28
4	0.32	0.35	0.44	0.35
8	0.36	0.63	0.58	0.59
16	0.74	1.11	1.13	1.08
32	1.75	2.20	2.25	2.14
64	3.94	4.51	4.55	4.50
128	11.45	12.44	12.89	12.48
256	28.17	28.17	28.63	28.26


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.36	0.31	0.42	0.42
2	0.31	0.36	0.33	0.30
4	0.33	0.40	0.41	0.40
8	0.44	0.59	0.59	0.53
16	0.82	1.08	1.06	1.02
32	1.85	2.03	2.02	1.96
64	3.70	3.88	3.86	3.88
128	7.47	7.58	7.58	7.57
256	22.46	22.60	21.85	21.93


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.35	0.40	0.48	0.41
2	0.33	0.26	0.40	0.35
4	0.30	0.40	0.39	0.38
8	0.36	0.37	0.39	0.38
16	0.50	0.56	0.57	0.56
32	1.01	1.03	1.03	1.03
64	2.06	2.13	2.14	2.14
128	7.37	7.49	7.53	7.52
256	18.50	18.47	18.48	18.57


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.35	0.47	0.46	0.47
2	0.32	0.42	0.37	0.41
4	0.30	0.37	0.36	0.40
8	0.32	0.44	0.43	0.44
16	0.63	0.71	0.71	0.71
32	1.23	1.31	1.31	1.31
64	2.57	2.69	2.70	2.72
128	9.16	9.34	9.31	9.33
256	22.68	22.79	22.77	22.87


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.37	0.48	0.48	0.48
2	0.30	0.25	0.47	0.44
4	0.30	0.41	0.41	0.41
8	0.33	0.44	0.43	0.46
16	0.68	0.75	0.75	0.76
32	1.29	1.39	1.39	1.39
64	2.75	2.87	2.87	2.88
128	9.63	9.73	9.71	9.76
256	23.87	24.01	23.98	24.01


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.39	0.45	0.45	0.46
2	0.31	0.36	0.32	0.36
4	0.34	0.44	0.42	0.43
8	0.44	0.60	0.60	0.54
16	0.74	1.07	1.08	1.09
32	1.89	2.01	2.07	2.07
64	3.77	3.92	3.97	3.96
128	7.63	7.73	7.76	7.75
256	22.37	22.25	22.30	22.54


