#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.11	0.32	0.35	0.31
2	0.18	0.24	0.25	0.24
4	0.21	0.22	0.21	0.20
8	0.24	0.30	0.31	0.27
16	0.44	0.55	0.54	0.54
32	0.97	1.10	1.11	1.12
64	2.23	2.31	2.31	2.31
128	4.59	4.65	4.60	4.63
256	9.22	9.25	9.21	9.19


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.28	0.30	0.30	0.30
2	0.15	0.20	0.25	0.27
4	0.19	0.23	0.23	0.25
8	0.24	0.33	0.34	0.30
16	0.36	0.65	0.65	0.66
32	1.20	1.34	1.31	1.34
64	2.56	2.75	2.68	2.71
128	5.32	5.50	5.36	5.38
256	10.77	11.01	10.72	10.84


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.28	0.22	0.33	0.20
2	0.24	0.18	0.27	0.25
4	0.23	0.30	0.26	0.20
8	0.26	0.32	0.35	0.31
16	0.48	0.68	0.73	0.68
32	1.24	1.43	1.40	1.43
64	2.82	2.99	2.85	3.03
128	5.88	5.86	5.72	6.03
256	11.42	11.51	11.42	12.13


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.13	0.36	0.17	0.36
2	0.23	0.28	0.26	0.27
4	0.30	0.33	0.31	0.31
8	0.35	0.47	0.40	0.45
16	0.67	0.92	0.91	0.89
32	1.62	1.81	1.81	1.83
64	3.56	3.62	3.61	3.68
128	7.26	7.23	7.23	7.29
256	14.76	14.61	14.62	14.90


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.27	0.31	0.35	0.23
2	0.15	0.25	0.22	0.25
4	0.22	0.25	0.23	0.26
8	0.22	0.25	0.26	0.26
16	0.32	0.37	0.37	0.37
32	0.70	0.74	0.75	0.75
64	1.51	1.57	1.57	1.58
128	3.06	3.16	3.17	3.18
256	6.33	6.33	6.34	6.36


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.27	0.27	0.35	0.34
2	0.22	0.19	0.19	0.26
4	0.23	0.19	0.23	0.26
8	0.23	0.27	0.28	0.28
16	0.35	0.47	0.47	0.47
32	0.87	0.94	0.94	0.94
64	1.89	1.95	1.96	1.97
128	3.79	3.91	3.93	3.94
256	7.80	7.85	7.85	7.87


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.28	0.28	0.35	0.35
2	0.22	0.25	0.22	0.30
4	0.19	0.28	0.24	0.29
8	0.24	0.28	0.28	0.29
16	0.44	0.51	0.50	0.50
32	0.91	1.01	1.00	1.00
64	1.97	2.08	2.09	2.09
128	4.08	4.17	4.19	4.19
256	8.31	8.35	8.39	8.40


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.31	0.36	0.36	0.37
2	0.21	0.30	0.22	0.29
4	0.25	0.31	0.30	0.27
8	0.31	0.42	0.44	0.43
16	0.67	0.95	0.80	0.94
32	1.64	1.85	1.82	1.85
64	3.46	3.70	3.66	3.70
128	7.28	7.40	7.37	7.41
256	14.82	14.89	15.11	14.91


