#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	3535.5	3058.3	6641.5	3032.5
2	7600.1	10684	8199.6	8746.3
4	17387	16759	17148	16814
8	30545	27920	25222	25431
16	35835	28726	28913	30261
32	33057	28910	28945	29192
64	29823	27977	27717	27935
128	28169	27910	27888	27830
256	27836	27796	27863	27860


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	3527.2	2979.1	3075.2	3179.0
2	7730.0	7797.0	8295.0	8551.1
4	19889	19983	20219	19614
8	32798	26128	23154	24248
16	37529	24253	24088	28159
32	27132	24060	24290	24143
64	23708	23625	23826	22950
128	23383	23620	23577	22994
256	23180	23446	23534	22971


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	8790.2	2978.2	3007.1	2855.5
2	11306	7089.5	7110.4	7033.6
4	16265	14773	15042	15809
8	33983	21495	21862	22696
16	27684	22946	24511	23024
32	25391	22522	22742	22740
64	23043	21416	22289	22089
128	22121	21458	22200	22056
256	21573	21539	22113	22091


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	3460.4	5627.9	2634.8	2609.7
2	7694.3	6677.3	8825.8	7642.0
4	17894	14808	12929	12714
8	21991	19514	18761	18655
16	23955	17468	17825	17218
32	19017	17495	17521	17476
64	17919	17560	17503	17573
128	17796	17543	17486	17501
256	17469	17376	17264	17509


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	3597.9	2932.9	4187.8	2905.1
2	9460.9	7256.8	9130.0	6597.1
4	17555	16558	14874	14512
8	32863	28077	28902	29906
16	47841	42654	42419	42309
32	44377	42758	42486	42461
64	42061	40418	40177	40279
128	41308	40134	39907	39936
256	40118	40082	40099	40087


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	9449.2	2959.7	2933.8	3484.8
2	12964	7535.7	8930.8	9428.1
4	19517	14259	15511	20164
8	30824	28191	28282	31100
16	38972	34173	34031	33792
32	36720	34104	34014	33929
64	34011	32771	32663	32483
128	33769	32604	32614	32459
256	32877	32673	32461	32494


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	3537.4	2837.1	2742.6	2879.0
2	7398.1	7263.2	6493.0	7188.2
4	16162	16380	13719	14667
8	28213	28889	27547	27019
16	36592	32156	31876	31461
32	34819	31940	31848	31739
64	32451	30560	30463	30482
128	31302	30645	30571	30443
256	30878	30618	30594	30417


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	3455.1	2583.2	5230.2	2733.9
2	7626.7	6733.4	6999.1	7093.3
4	16577	11662	12826	11534
8	24703	17826	17222	17454
16	23527	17482	18895	17468
32	19221	17543	17244	17639
64	18473	17663	17317	17562
128	18112	17647	17556	17546
256	17585	17584	17475	17233


