#Workload: connect; select 1; disconnect;
#average connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-10.1.4      	0.1700	0.2500	0.4300	0.8600	1.7500	3.5300	7.3900
mariadb-10.1.5      	0.1800	0.2600	0.4500	0.9000	1.8200	3.6600	7.6300
mariadb-10.1.6      	0.1800	0.2700	0.4400	0.8900	1.7900	3.6100	7.4900
mariadb-10.1.7      	0.1800	0.2600	0.4400	0.8900	1.8000	3.6500	7.5300
mariadb-10.1.8      	0.1900	0.2600	0.4400	0.8800	1.8000	3.6200	7.4600
mariadb-10.1.9      	0.1800	0.2600	0.4400	0.8900	1.8100	3.6500	7.5700
mariadb-10.1.10     	0.1700	0.2600	0.4300	0.8700	1.7600	3.5800	7.4000
mariadb-10.1.11     	0.1700	0.2700	0.4600	0.9100	1.8500	3.7700	7.8200
mariadb-10.1.12     	0.1700	0.2700	0.4600	0.9100	1.8400	3.7400	7.7100
mariadb-10.1.13     	0.1800	0.2700	0.4600	0.9300	1.8700	3.8000	7.8000
mariadb-10.1.14     	0.1600	0.2700	0.4600	0.9100	1.8400	3.7500	7.8000
mariadb-10.1.15     	0.1800	0.2700	0.4500	0.9000	1.8400	3.7900	7.8000
mariadb-10.1.16     	0.1800	0.2700	0.4500	0.9000	1.8300	3.7100	7.7400
mariadb-10.1.17     	0.1700	0.2700	0.4500	0.9000	1.8300	3.7200	7.7200
mariadb-10.1.18     	0.2200	0.2800	0.4600	0.9200	1.8800	3.8000	7.8900
mariadb-10.1.19     	0.1600	0.2800	0.4600	0.9400	1.8800	3.8500	8.0200
mariadb-10.1.20     	0.1600	0.2700	0.4600	0.9300	1.8500	3.7500	7.8700
mariadb-10.1.21     	0.1600	0.2700	0.4600	0.9300	1.8800	3.8100	7.8800
mariadb-10.1.22     	0.2300	0.2800	0.4700	0.9200	1.8700	3.8200	7.9400
mariadb-10.1.23     	0.2000	0.2700	0.4600	0.9200	1.8600	3.7600	7.8100
mariadb-10.1.24     	0.2500	0.2700	0.4500	0.9100	1.8400	3.7000	7.8000
mariadb-10.1.25     	0.1800	0.2700	0.4600	0.9200	1.8600	3.7900	7.8200
mariadb-10.1.26     	0.2100	0.2800	0.4700	0.9300	1.8600	3.7600	7.8200
mariadb-10.1.27     	0.1700	0.2800	0.4700	0.9400	1.8900	3.8400	7.9000
mariadb-10.1.28     	0.1700	0.2800	0.4700	0.9300	1.8900	3.8200	7.9500
mariadb-10.1.29     	0.2400	0.2800	0.4700	0.9400	1.8800	3.8100	7.9800
mariadb-10.1.30     	0.2400	0.2800	0.4700	0.9300	1.9000	3.9100	8.0600
mariadb-10.1.31     	0.2400	0.2700	0.4600	0.9200	1.8600	3.7700	7.7900
mariadb-10.2.1      	0.1000	0.1100	0.1300	0.2400	0.4800	0.9700	2.0400
mariadb-10.2.2      	0.1000	0.1100	0.1400	0.2500	0.5000	1.0200	2.1100
mariadb-10.2.3      	0.1100	0.1100	0.1400	0.2500	0.5000	1.0100	2.1100
mariadb-10.2.4      	0.1000	0.1200	0.1400	0.2500	0.5100	1.0200	2.1200
mariadb-10.2.5      	0.1200	0.1100	0.1400	0.2500	0.5000	1.0200	2.1200
mariadb-10.2.6      	0.1200	0.1200	0.1400	0.2400	0.4900	0.9900	2.1000
mariadb-10.2.7      	0.1100	0.1200	0.1400	0.2500	0.5100	1.0200	2.1300
mariadb-10.2.8      	0.1100	0.1100	0.1400	0.2400	0.4900	0.9900	2.1000
mariadb-10.2.9      	0.1000	0.1100	0.1400	0.2400	0.4800	0.9800	2.0800
mariadb-10.2.10     	0.1000	0.1100	0.1400	0.2400	0.4800	0.9900	2.0800
mariadb-10.2.11     	0.1100	0.1100	0.1400	0.2400	0.4900	0.9900	2.0900
