#Workload: connect; select 1; disconnect;
#connects per second
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-10.1.27     	5744.2	28132	34226	34160	33838	33315	32378
mariadb-10.1.28     	5972.0	28311	34240	34303	33880	33472	32200
mariadb-10.1.29     	4067.2	28606	34152	34008	33937	33547	32073
mariadb-10.1.30     	4122.6	28104	34074	34203	33635	32704	31738
mariadb-10.1.31     	4199.6	29201	34668	34731	34451	33895	32833
mariadb-10.2.1      	9526.1	72293	119384	134855	133429	131214	125272
mariadb-10.2.2      	9685.6	72615	116413	128226	126786	125773	121339
mariadb-10.2.3      	8972.0	68977	116317	128347	127533	125975	120981
mariadb-10.2.4      	10135	66429	116189	128120	125915	125410	120622
mariadb-10.2.5      	8392.5	70293	114210	128243	127443	125481	120789
mariadb-10.2.6      	8406.7	66882	114033	131105	130381	128717	121978
mariadb-10.2.7      	9011.5	68238	114542	127321	125728	125041	120263
mariadb-10.2.8      	8971.9	69240	114714	132887	131368	129283	121976
mariadb-10.2.9      	9861.7	69358	114876	133114	132551	130341	122736
mariadb-10.2.10     	9740.9	70063	115054	132711	131760	128702	123058
mariadb-10.2.11     	9198.6	70738	114843	132299	131002	128688	122573
mariadb-10.2.12     	9386.2	67598	115295	131415	132563	128523	122365
mariadb-10.2.13     	9005.7	70532	114680	131760	130590	127402	121881
mariadb-10.3.0      	8733.6	69989	112238	121092	120087	119833	114413
mariadb-10.3.1      	8479.1	59291	80954	81046	80629	80344	79407
mariadb-10.3.2      	8439.2	60418	81373	81412	80924	80519	80056
mariadb-10.3.4      	8619.8	59803	80593	80636	80134	79984	79619
mariadb-10.3.5      	8434.1	59583	78604	78682	78433	78280	77702
mysql-5.6.26        	7755.4	37413	38762	38154	38456	38256	38362
mysql-5.6.27        	7466.7	37516	39550	38768	38518	38104	38104
mysql-5.6.28        	7953.8	37738	38507	38567	38357	37872	38374
mysql-5.6.29        	7699.1	37526	38842	38609	38514	38227	38527
mysql-5.6.30        	7638.1	37952	38585	38807	38627	38020	38091
mysql-5.6.31        	6963.3	37551	38806	39286	39086	38052	38073
mysql-5.6.32        	7612.0	37740	38936	38526	38570	37662	37880
mysql-5.6.33        	8241.8	36406	37200	38790	38133	37772	37075
mysql-5.6.34        	7814.6	37812	38812	38658	38476	38225	38131
mysql-5.6.35        	7813.1	37817	39227	38548	38778	38813	38597
mysql-5.6.36        	8194.6	36597	37380	37824	37898	37183	37044
mysql-5.6.37        	6005.6	36459	37012	37635	37039	36777	36308
mysql-5.7.9         	6320.9	53800	88740	94109	25960	16915	16993
mysql-5.7.10        	5615.6	53832	87336	92575	46518	17692	17737
mysql-5.7.11        	6417.4	51663	87760	92539	31258	17497	17555
mysql-5.7.12        	5981.1	50763	84410	89663	64097	17512	17587
mysql-5.7.13        	5777.0	50665	84701	90217	74363	22895	17557
mysql-5.7.14        	5655.5	51062	84428	90078	50631	17529	17803
mysql-5.7.15        	5560.3	51889	83863	89913	87429	34461	17430
mysql-5.7.16        	6370.0	50481	84812	90454	48279	17433	17469
mysql-5.7.17        	6012.6	51692	83795	89908	54361	17529	17594
mysql-5.7.18        	5700.2	49758	84105	89635	40356	17500	17593
mysql-5.7.19        	5807.2	52061	84058	90082	28596	17413	17996
mysql-5.7.20        	5586.3	51909	84281	90678	68522	17547	17516
mysql-8.0.0         	5629.8	47814	77492	85679	86977	86496	84440
mysql-8.0.1         	4988.3	46377	75365	82621	83921	83882	82384
mysql-8.0.2         	4560.0	44586	72641	78479	79536	79199	76754
mysql-8.0.3         	3827.9	41987	70555	76291	77003	76463	75216
