#Workload: connect; select 1; disconnect;
#95%ile of connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-10.1.6      	0.2400	0.3500	0.5300	1.0000	1.9300	3.9300	10.770
mariadb-10.1.7      	0.2400	0.3400	0.5200	1.0100	1.9700	4.0500	10.270
mariadb-10.1.8      	0.2500	0.3500	0.5300	0.9900	1.9600	3.9300	10.120
mariadb-10.1.9      	0.2400	0.3400	0.5300	0.9900	1.9600	4.0400	10.230
mariadb-10.1.10     	0.2300	0.3400	0.5100	0.9800	1.8900	3.8800	10.050
mariadb-10.1.11     	0.2200	0.3600	0.5400	1.0200	2.0100	4.1300	10.670
mariadb-10.1.12     	0.2300	0.3600	0.5400	1.0200	1.9900	4.1100	10.560
mariadb-10.1.13     	0.2300	0.3700	0.5500	1.0400	2.0100	4.1800	10.490
mariadb-10.1.14     	0.2300	0.3700	0.5500	1.0200	1.9700	4.1100	10.660
mariadb-10.1.15     	0.2400	0.3600	0.5400	1.0100	2.0000	4.2400	10.600
mariadb-10.1.16     	0.2300	0.3600	0.5300	1.0100	1.9900	4.0700	10.530
mariadb-10.1.17     	0.2300	0.3600	0.5400	1.0100	1.9700	4.0300	10.500
mariadb-10.1.18     	0.3300	0.3700	0.5500	1.0400	2.0300	4.1700	10.830
mariadb-10.1.19     	0.2100	0.3800	0.5500	1.0700	2.0300	4.1700	10.920
mariadb-10.1.20     	0.2100	0.3600	0.5400	1.0500	1.9900	4.0300	10.800
mariadb-10.1.21     	0.2200	0.3700	0.5500	1.0400	2.0400	4.2000	10.700
mariadb-10.1.22     	0.3400	0.3700	0.5500	1.0300	2.0400	4.2500	10.790
mariadb-10.1.23     	0.3000	0.3700	0.5400	1.0300	2.0000	4.1300	10.640
mariadb-10.1.24     	0.3700	0.3600	0.5400	1.0100	1.9900	4.0300	10.690
mariadb-10.1.25     	0.2800	0.3700	0.5400	1.0200	2.0200	4.1800	10.640
mariadb-10.1.26     	0.3000	0.3800	0.5600	1.0400	2.0100	4.0700	10.670
mariadb-10.1.27     	0.2300	0.3800	0.5500	1.0500	2.0500	4.1800	10.710
mariadb-10.1.28     	0.2200	0.3800	0.5500	1.0400	2.0400	4.1400	10.850
mariadb-10.1.29     	0.3600	0.3800	0.5600	1.0600	2.0600	4.1300	10.910
mariadb-10.1.30     	0.3600	0.3800	0.5600	1.0400	2.0600	4.3700	11.070
mariadb-10.1.31     	0.3600	0.3700	0.5400	1.0300	2.0000	4.1000	10.520
mariadb-10.2.1      	0.1300	0.1500	0.1800	0.3600	0.6300	1.1700	3.6000
mariadb-10.2.2      	0.1300	0.1400	0.1800	0.3700	0.6600	1.2300	3.7200
mariadb-10.2.3      	0.1400	0.1600	0.1800	0.3700	0.6500	1.2100	3.7200
mariadb-10.2.4      	0.1300	0.1600	0.1800	0.3700	0.6600	1.2200	3.7200
