query	min	avg	max	STDDEV%
1	1.5313	1.62395600	1.7567	3.51088961
2	0.2670	0.28498410	0.3113	5.60755091
3	0.7237	0.75146340	0.7779	2.56195646
4	3.1862	3.29007180	3.5251	3.49240665
5	0.0744	0.07712550	0.0786	1.43128370
6	0.0027	0.00374520	0.0042	10.57906029
7	0.2298	0.24343530	0.2693	4.53694862
8	0.2282	0.23545810	0.2957	8.53151835
9	2.4598	2.58494190	2.6857	2.43227936
10	1.0409	1.08485010	1.1661	2.88199752
11	0.0068	0.00774370	0.0111	14.91854794
12	0.4185	0.51830610	0.6007	10.91411049
13	0.0054	0.00639730	0.0085	17.38594275
14	0.0012	0.00167550	0.0023	26.79099457
15	0.0012	0.00161480	0.0022	25.99945549
16	0.0010	0.00139240	0.0019	25.81609211
17	0.0010	0.00135890	0.0019	26.14382780
18	2.3502	2.60310890	2.9843	8.58345036
19	0.8240	0.84872340	1.0457	7.75238212
20	0.8141	0.81765180	0.8227	0.26661165
21	26.5608	27.55402130	28.7067	2.69320965
