query	min	avg	max	STDDEV%
1	1.7192	1.89068710	2.0353	5.07522115
2	0.2411	0.28196240	0.3400	12.22401351
3	3.7382	3.81308560	3.9437	1.71704413
4	12.7453	13.24737940	13.4915	1.70743598
5	0.0868	0.08891410	0.0899	1.03244889
6	0.0038	0.00414430	0.0043	3.15665590
7	0.5365	0.56108410	0.6003	3.82330629
8	1.6021	1.63847580	1.7504	2.40268172
9	2.0696	2.27773680	2.4280	3.98152114
10	0.9336	1.04756490	1.1185	5.30090104
11	0.0214	0.02346950	0.0263	7.28108173
12	0.3770	0.42595550	0.4815	7.89100773
13	0.0051	0.00683580	0.0081	13.83235301
14	0.0016	0.00238340	0.0034	21.80422356
15	0.0024	0.00370420	0.0050	20.24939895
16	0.0010	0.00150650	0.0020	19.68149262
17	0.0010	0.00145930	0.0020	19.93847831
18	9.1850	10.19448080	10.4579	3.40937066
19	0.8753	1.09537800	1.2012	7.36241916
20	0.8273	0.91504850	1.0567	11.16331574
21	133.6701	139.91998650	154.9241	5.33850033
