query	min	avg	max	STDDEV%
1	0.6609	0.69127090	0.9006	10.15906096
2	0.1473	0.14788910	0.1488	0.34688411
3	0.2353	0.24155200	0.2661	3.81777403
4	2.9626	2.98673890	3.0233	0.67916385
5	0.0012	0.00129310	0.0013	1.72696374
6	0.0010	0.00108330	0.0013	6.73690463
7	0.1768	0.18753650	0.2010	4.67403537
8	0.1736	0.17701010	0.1854	2.28645508
9	0.6607	0.67197780	0.7002	1.74400137
10	0.9098	0.91537840	0.9415	0.98200521
11	0.0009	0.00099560	0.0012	8.48127402
12	0.1800	0.18392220	0.1925	2.61893811
13	0.0013	0.00140910	0.0015	3.55098193
14	0.0010	0.00113460	0.0012	4.05701209
15	0.0011	0.00126180	0.0013	4.02655620
16	0.0010	0.00110170	0.0013	6.15356983
17	0.0010	0.00107970	0.0011	4.55227287
18	2.1957	2.25935750	2.3933	2.46190382
19	0.8025	0.81214090	0.8592	2.07621898
20	0.8020	0.82056280	0.9762	6.32297587
21	15.0696	15.11458760	15.1888	0.25728244
