query	min	avg	max	STDDEV%
1	1.2664	1.29266920	1.4884	5.05787917
2	0.3204	0.32667370	0.3410	1.87972214
3	1.2664	1.31958980	1.5478	5.95183662
4	3.7740	3.81650310	4.1013	2.49881946
5	0.0028	0.00295110	0.0032	4.56210991
6	0.0020	0.00197690	0.0020	0.76496028
7	3.4827	3.50622440	3.5477	0.54688050
8	1.3640	1.39305760	1.4729	2.54100377
9	0.9157	0.95216220	1.1651	7.54596610
10	1.3244	1.33367810	1.3487	0.70135896
11	0.0026	0.00270470	0.0029	4.15241354
12	3.2846	3.31161710	3.3530	0.62118633
13	0.0025	0.00286220	0.0058	34.71930546
14	0.0020	0.00231040	0.0049	37.39126831
15	0.0022	0.00262530	0.0054	35.07275824
16	0.0020	0.00253490	0.0049	42.66219875
17	0.0020	0.00225250	0.0045	32.68615140
18	1.6445	1.68184070	1.8494	3.43757428
19	3.9234	3.95154970	4.0922	1.21102287
20	1.2343	1.24970280	1.2863	1.21911815
21	30.1156	30.27466660	30.4637	0.43562411
