#sysbench INSERT only, single table, single thread
#QPS
#
#thread count       	1
mariadb-5.5.20      	772.06
mariadb-5.5.21      	1484.8
mariadb-5.5.22      	790.18
mariadb-5.5.23      	762.52
mariadb-5.5.24      	771.67
mariadb-5.5.25      	755.76
mariadb-5.5.27      	772.97
mariadb-5.5.28      	760.54
mariadb-5.5.29      	789.24
mariadb-5.5.30      	784.68
mariadb-5.5.33      	777.53
mariadb-5.5.34      	785.65
mariadb-5.5.35      	785.16
mariadb-5.5.36      	848.12
mariadb-5.5.37      	952.88
mariadb-5.5.38      	837.45
mariadb-5.5.39      	778.55
mariadb-5.5.40      	819.23
mariadb-5.5.41      	800.74
mariadb-5.5.42      	782.45
mariadb-5.5.43      	782.29
mariadb-5.5.44      	784.06
mariadb-5.5.45      	889.12
mariadb-5.5.46      	762.22
mariadb-5.5.47      	792.03
mariadb-5.5.48      	778.21
mariadb-5.5.49      	754.83
mariadb-5.5.50      	772.08
mariadb-5.5.51      	1173.1
mariadb-5.5.52      	784.16
mariadb-5.5.53      	775.97
mariadb-5.5.54      	804.18
mariadb-5.5.55      	751.81
mariadb-5.5.56      	798.82
mariadb-5.5.57      	757.80
mariadb-5.5.58      	770.09
mariadb-5.5.59      	794.28
mariadb-10.0.7      	749.82
mariadb-10.0.8      	725.15
mariadb-10.0.9      	732.96
mariadb-10.0.10     	726.01
mariadb-10.0.11     	725.25
mariadb-10.0.12     	1272.1
mariadb-10.0.13     	743.18
mariadb-10.0.14     	750.75
mariadb-10.0.15     	776.68
mariadb-10.0.16     	775.66
mariadb-10.0.17     	1050.1
mariadb-10.0.18     	885.36
mariadb-10.0.19     	1494.5
mariadb-10.0.20     	1175.2
mariadb-10.0.21     	754.05
mariadb-10.0.22     	764.70
mariadb-10.0.23     	729.80
mariadb-10.0.24     	736.57
mariadb-10.0.25     	744.04
mariadb-10.0.26     	776.51
mariadb-10.0.27     	741.85
mariadb-10.0.28     	735.45
mariadb-10.0.29     	741.18
mariadb-10.0.30     	736.75
mariadb-10.0.31     	751.63
mariadb-10.0.32     	872.52
mariadb-10.0.33     	731.55
mariadb-10.0.34     	741.13
mariadb-10.1.2      	763.07
mariadb-10.1.3      	732.59
mariadb-10.1.4      	749.56
mariadb-10.1.5      	734.73
mariadb-10.1.6      	738.62
mariadb-10.1.7      	735.88
mariadb-10.1.8      	742.14
mariadb-10.1.9      	748.74
mariadb-10.1.10     	737.09
mariadb-10.1.11     	746.56
mariadb-10.1.12     	728.48
mariadb-10.1.13     	753.88
mariadb-10.1.14     	759.19
mariadb-10.1.15     	738.60
mariadb-10.1.16     	764.40
mariadb-10.1.17     	727.65
mariadb-10.1.18     	767.57
mariadb-10.1.19     	751.80
mariadb-10.1.20     	802.51
mariadb-10.1.21     	746.36
mariadb-10.1.22     	740.11
mariadb-10.1.23     	728.54
mariadb-10.1.24     	757.25
mariadb-10.1.25     	742.38
mariadb-10.1.26     	756.13
mariadb-10.1.27     	744.95
mariadb-10.1.28     	742.10
mariadb-10.1.29     	772.71
mariadb-10.1.30     	730.51
mariadb-10.1.31     	758.46
mariadb-10.2.1      	824.95
mariadb-10.2.2      	847.62
mariadb-10.2.3      	840.31
mariadb-10.2.4      	814.54
mariadb-10.2.5      	847.97
mariadb-10.2.6      	1273.1
mariadb-10.2.7      	827.03
mariadb-10.2.8      	836.89
mariadb-10.2.9      	825.57
mariadb-10.2.10     	852.86
mariadb-10.2.11     	836.24
mariadb-10.2.12     	840.04
mariadb-10.2.13     	832.54
mariadb-10.3.0      	842.99
mariadb-10.3.1      	836.15
mariadb-10.3.2      	859.17
mariadb-10.3.4      	828.78
mariadb-10.3.5      	981.03
