query	min	avg	max	STDDEV%
1	0.6640	0.68836360	0.8931	9.91694101
2	0.1472	0.14871430	0.1569	1.84595054
3	0.2362	0.24949840	0.3610	14.89863292
4	3.0303	3.06954730	3.2814	2.33482310
5	0.0012	0.00130830	0.0014	2.08796489
6	0.0010	0.00107920	0.0012	4.98906515
7	0.1777	0.18583370	0.1969	3.69798493
8	0.1729	0.17921410	0.1901	3.47966569
9	0.6633	0.67473150	0.7086	2.36899651
10	0.9253	0.93029350	0.9470	0.75121579
11	0.0009	0.00100390	0.0013	9.49402257
12	0.1815	0.18691730	0.1965	3.22713228
13	0.0013	0.00140230	0.0014	2.75930956
14	0.0010	0.00113010	0.0012	3.33387486
15	0.0012	0.00128890	0.0013	3.68926372
16	0.0010	0.00109010	0.0011	4.21629502
17	0.0010	0.00107530	0.0011	4.74360091
18	2.2022	2.31761150	2.3949	3.41712278
19	0.8218	0.82773760	0.8736	1.84830243
20	0.8203	0.84431940	0.9787	5.60839417
21	14.9337	14.98494160	15.1105	0.35037836
