#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#TPS
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.0.32     	782.83	5230.6	9440.2	11273	11478	11506	11497	11120	10342	10331	10252
mariadb-10.0.33     	836.27	5399.8	9395.6	11303	11495	11388	11446	11163	10344	10359	10236
mariadb-10.0.34     	843.00	5378.7	9452.1	11362	11496	11465	11460	11102	10324	10457	10281
mariadb-10.1.2      	816.97	5455.1	9630.2	11591	11768	11798	11777	11449	10442	10370	10345
mariadb-10.1.3      	818.02	5445.9	9503.5	11500	11694	11648	11630	11218	10355	10365	10233
mariadb-10.1.4      	831.47	5509.2	9653.3	11500	11792	11916	11776	11336	10375	10402	10254
mariadb-10.1.5      	848.86	5507.7	9736.4	11749	11971	12106	12000	11532	10474	10512	10339
mariadb-10.1.6      	818.76	5562.0	9541.6	11728	11957	12049	11956	11464	10416	10348	10334
mariadb-10.1.7      	815.96	5505.5	9760.7	11770	12002	12090	11973	11493	10505	10525	10307
mariadb-10.1.8      	853.82	5489.9	9722.0	11753	12063	12109	12023	11507	10546	10446	10366
mariadb-10.1.9      	804.23	5506.1	9603.1	11760	12016	12089	11981	11552	10585	10472	10402
mariadb-10.1.10     	804.54	5494.5	9571.1	11662	11961	12010	11925	11524	10430	10519	10546
mariadb-10.1.11     	842.07	5541.9	9740.2	11876	12068	12151	12051	11637	10649	10641	10598
mariadb-10.1.12     	867.52	5573.4	9616.9	11856	12075	12159	12028	11544	10644	10583	10568
mariadb-10.1.13     	844.77	5502.8	9688.4	11821	12014	12168	12050	11646	10553	10552	10474
mariadb-10.1.14     	821.74	5458.4	9537.8	11603	11837	11915	11782	11410	10388	10467	10324
mariadb-10.1.15     	795.73	5478.5	9643.1	11606	11816	11908	11823	11363	10315	10331	10215
mariadb-10.1.16     	806.54	5419.3	9466.8	11494	11791	11837	11852	11456	10366	10349	10248
mariadb-10.1.17     	823.80	5491.9	9609.8	11636	11860	11933	11780	11492	10448	10380	10275
mariadb-10.1.18     	795.72	5324.9	9627.3	11538	11757	11832	11793	11353	10295	10372	10276
mariadb-10.1.19     	801.25	5282.2	9334.1	11383	11584	11669	11615	11230	10260	10288	10101
mariadb-10.1.20     	793.70	5392.8	9530.7	11509	11707	11790	11718	11264	10369	10123	10156
mariadb-10.1.21     	770.65	5373.9	9522.6	11486	11699	11767	11742	11275	10318	10230	10160
mariadb-10.1.22     	801.78	5427.5	9464.3	11504	11694	11793	11749	11231	10287	10269	10157
mariadb-10.1.23     	843.09	5416.1	9448.9	11500	11728	11788	11700	11198	10222	10294	10129
mariadb-10.1.24     	815.02	5332.8	9458.4	11508	11701	11823	11735	11236	10331	10257	10205
mariadb-10.1.25     	832.37	5397.1	9547.4	11444	11657	11790	11676	11257	10234	10214	10098
mariadb-10.1.26     	801.32	5434.6	9414.7	11522	11734	11867	11776	11335	10384	10213	10258
mariadb-10.1.27     	812.23	5463.7	9540.8	11417	11729	11805	11736	11236	10158	10242	10105
mariadb-10.1.28     	788.83	5415.0	9485.9	11502	11743	11856	11694	11193	10147	10343	10039
mariadb-10.1.29     	796.80	5420.7	9543.3	11499	11724	11787	11761	11283	10260	10219	10143
mariadb-10.1.30     	838.01	5461.1	9528.0	11491	11777	11843	11769	11332	10263	10277	10099
