#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#95%ile of transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.0.21     	1.5300	1.6700	1.8100	3.0300	6.0600	12.160	24.440	50.610	107.55	214.68	453.99
mariadb-10.0.22     	1.6000	1.7000	1.8200	3.0100	6.1400	12.210	24.480	51.980	114.32	224.00	452.77
mariadb-10.0.23     	1.6500	1.7300	1.8300	3.0200	6.1300	12.170	24.610	50.420	109.37	220.21	454.26
mariadb-10.0.24     	1.6300	1.7000	1.7900	3.0000	6.0500	12.480	24.540	50.630	110.65	226.76	420.25
mariadb-10.0.25     	1.6800	1.6800	1.8200	3.1200	6.1700	12.370	25.070	51.640	116.01	218.89	456.99
mariadb-10.0.26     	1.5700	1.7200	1.8300	3.0800	6.1400	12.380	25.310	53.320	110.62	219.55	433.02
mariadb-10.0.27     	1.6000	1.7000	1.8400	3.0900	6.2300	12.540	25.380	53.370	114.73	230.53	436.27
mariadb-10.0.28     	1.6300	1.7500	1.8400	3.1200	6.2200	12.560	24.520	52.620	115.49	227.44	470.31
mariadb-10.0.29     	1.6700	1.6800	1.8200	3.1000	6.1700	12.420	24.590	52.530	108.36	219.22	436.01
mariadb-10.0.30     	1.6600	1.7100	1.8200	3.1100	6.2600	12.340	25.240	51.610	110.32	217.65	439.42
mariadb-10.0.31     	1.6600	1.6900	1.8300	3.1000	6.2100	12.490	24.710	51.890	110.59	229.70	438.89
mariadb-10.0.32     	1.6700	1.7500	1.8200	3.0800	6.2200	12.460	24.690	52.030	117.27	230.67	442.98
mariadb-10.0.33     	1.5500	1.6900	1.8600	3.0700	6.1800	12.370	24.620	50.750	110.32	214.74	433.41
mariadb-10.0.34     	1.5300	1.7000	1.8100	3.1100	6.2000	12.310	24.580	51.500	115.28	228.67	447.51
mariadb-10.1.2      	1.6300	1.7000	1.7800	2.9900	6.1300	12.270	25.140	51.900	112.59	224.33	448.05
mariadb-10.1.3      	1.6200	1.6900	1.8200	3.0600	6.1400	12.410	25.480	52.480	115.87	222.86	456.31
