#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#average transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.0.21     	1.1900	1.4600	1.6700	2.7800	5.4800	11.050	22.020	45.430	97.680	195.06	393.10
mariadb-10.0.22     	1.2200	1.4500	1.6700	2.7800	5.4800	10.930	21.890	44.880	97.030	191.09	391.12
mariadb-10.0.23     	1.2600	1.4800	1.6800	2.7800	5.4500	10.980	21.920	45.030	97.510	192.60	393.16
mariadb-10.0.24     	1.2200	1.4600	1.6700	2.7500	5.4300	10.830	21.750	44.500	95.760	192.93	387.53
mariadb-10.0.25     	1.2900	1.4900	1.6900	2.8300	5.5500	11.180	22.360	45.930	98.350	197.67	395.82
mariadb-10.0.26     	1.2100	1.4800	1.7000	2.8200	5.5700	11.170	22.340	45.880	98.990	198.02	396.96
mariadb-10.0.27     	1.2400	1.4900	1.7000	2.8300	5.5600	11.220	22.400	46.020	97.810	197.50	394.72
mariadb-10.0.28     	1.2500	1.4900	1.6900	2.8400	5.5600	11.160	22.310	45.990	98.600	196.06	396.81
mariadb-10.0.29     	1.2600	1.4900	1.6900	2.8500	5.5900	11.240	22.480	46.140	99.200	198.40	397.71
mariadb-10.0.30     	1.2600	1.4900	1.6900	2.8400	5.6100	11.150	22.410	46.080	98.930	198.18	397.23
mariadb-10.0.31     	1.2700	1.4900	1.6900	2.8400	5.5800	11.190	22.370	46.190	99.300	196.61	399.17
mariadb-10.0.32     	1.2800	1.5300	1.6900	2.8400	5.5700	11.120	22.260	46.030	98.960	198.04	398.74
mariadb-10.0.33     	1.1900	1.4800	1.7000	2.8300	5.5700	11.240	22.360	45.850	98.940	197.50	399.42
mariadb-10.0.34     	1.1900	1.4900	1.6900	2.8100	5.5700	11.160	22.330	46.100	99.130	195.63	397.62
mariadb-10.1.2      	1.2200	1.4700	1.6600	2.7600	5.4400	10.850	21.730	44.700	98.020	197.27	394.98
mariadb-10.1.3      	1.2200	1.4700	1.6800	2.7800	5.4700	10.990	22.010	45.630	98.840	197.38	399.45
mariadb-10.1.4      	1.2000	1.4500	1.6600	2.7800	5.4300	10.740	21.730	45.150	98.650	196.68	398.66
mariadb-10.1.5      	1.1800	1.4500	1.6400	2.7200	5.3400	10.570	21.330	44.390	97.710	194.59	395.44
mariadb-10.1.6      	1.2200	1.4400	1.6800	2.7300	5.3500	10.620	21.410	44.650	98.260	197.71	395.58
mariadb-10.1.7      	1.2200	1.4500	1.6400	2.7200	5.3300	10.580	21.380	44.540	97.430	194.36	396.55
mariadb-10.1.8      	1.1700	1.4600	1.6400	2.7200	5.3000	10.570	21.290	44.480	97.050	195.88	394.40
mariadb-10.1.9      	1.2400	1.4500	1.6600	2.7200	5.3200	10.590	21.360	44.310	96.690	195.36	392.90
mariadb-10.1.10     	1.2400	1.4500	1.6700	2.7400	5.3500	10.660	21.460	44.420	98.130	194.51	387.67
mariadb-10.1.11     	1.1900	1.4400	1.6400	2.6900	5.3000	10.530	21.240	43.990	96.110	192.25	385.70
mariadb-10.1.12     	1.1500	1.4300	1.6600	2.7000	5.3000	10.520	21.280	44.340	96.160	193.30	386.73
mariadb-10.1.13     	1.1800	1.4500	1.6500	2.7100	5.3300	10.520	21.240	43.950	96.990	193.91	390.31
mariadb-10.1.14     	1.2200	1.4600	1.6800	2.7600	5.4000	10.740	21.720	44.860	98.530	195.42	395.89
mariadb-10.1.15     	1.2600	1.4600	1.6600	2.7600	5.4100	10.750	21.650	45.050	99.220	198.02	400.13
mariadb-10.1.16     	1.2400	1.4700	1.6900	2.7800	5.4300	10.810	21.600	44.680	98.720	197.70	398.81
mariadb-10.1.17     	1.2100	1.4600	1.6600	2.7500	5.3900	10.720	21.730	44.540	97.960	197.08	397.83
mariadb-10.1.18     	1.2600	1.5000	1.6600	2.7700	5.4400	10.820	21.700	45.090	99.400	197.21	397.70
mariadb-10.1.19     	1.2500	1.5100	1.7100	2.8100	5.5200	10.970	22.040	45.580	99.750	198.81	404.74
mariadb-10.1.20     	1.2600	1.4800	1.6800	2.7800	5.4600	10.850	21.840	45.440	98.710	202.10	402.42
mariadb-10.1.21     	1.3000	1.4900	1.6800	2.7800	5.4700	10.870	21.800	45.400	99.190	199.98	402.27
mariadb-10.1.22     	1.2500	1.4700	1.6900	2.7800	5.4700	10.850	21.780	45.570	99.500	199.19	402.51
mariadb-10.1.23     	1.1900	1.4800	1.6900	2.7800	5.4600	10.860	21.870	45.710	100.13	198.74	403.52
mariadb-10.1.24     	1.2300	1.5000	1.6900	2.7800	5.4700	10.820	21.810	45.550	99.060	199.39	400.48
mariadb-10.1.25     	1.2000	1.4800	1.6700	2.7900	5.4900	10.850	21.920	45.470	99.980	200.29	404.71
mariadb-10.1.26     	1.2500	1.4700	1.7000	2.7800	5.4500	10.780	21.730	45.160	98.560	200.32	398.43
mariadb-10.1.27     	1.2300	1.4600	1.6800	2.8000	5.4500	10.840	21.810	45.550	100.76	199.76	404.50
mariadb-10.1.28     	1.2700	1.4800	1.6900	2.7800	5.4500	10.790	21.890	45.730	100.87	197.79	407.15
mariadb-10.1.29     	1.2500	1.4700	1.6800	2.7800	5.4600	10.860	21.760	45.360	99.750	200.21	403.05
mariadb-10.1.30     	1.1900	1.4600	1.6800	2.7800	5.4300	10.810	21.750	45.170	99.730	199.08	404.81
mariadb-10.1.31     	1.2000	1.4900	1.6800	2.7800	5.4600	10.820	21.710	45.190	100.10	198.38	400.27
mariadb-10.2.1      	1.2500	1.5000	1.7000	2.8100	5.5500	10.940	22.130	45.900	101.00	200.48	403.07
mariadb-10.2.2      	1.2300	1.5100	1.7400	2.9400	5.7400	11.490	22.650	47.380	101.74	210.35	418.60
mariadb-10.2.3      	1.2700	1.5100	1.7400	2.8700	5.6300	11.210	22.390	46.980	100.08	206.93	411.12
mariadb-10.2.4      	1.3100	1.5100	1.7100	2.8800	5.6500	11.220	22.150	46.200	99.520	205.72	414.08
mariadb-10.2.5      	1.2500	1.4400	1.6800	2.7900	5.4600	10.910	21.570	45.610	95.440	194.82	401.05
mariadb-10.2.6      	1.3100	1.4800	1.6900	2.8000	5.5200	10.940	21.630	45.470	96.080	196.70	406.54
mariadb-10.2.7      	1.2800	1.4800	1.6900	2.7900	5.5600	10.990	21.720	45.680	95.000	197.10	401.85
mariadb-10.2.8      	1.2700	1.4700	1.6800	2.8000	5.5700	10.950	21.640	46.790	96.360	196.90	407.85
mariadb-10.2.9      	1.2200	1.4700	1.6700	2.8000	5.5400	10.890	21.580	44.840	94.800	196.32	407.74
mariadb-10.2.10     	1.2300	1.5100	1.6800	2.7800	5.5500	10.990	21.800	46.100	95.790	196.91	406.66
mariadb-10.2.11     	1.2300	1.4800	1.6900	2.7900	5.5100	11.060	21.470	46.510	95.710	196.59	393.12
mariadb-10.2.12     	1.2200	1.4700	1.6800	2.8100	5.5200	10.910	21.650	46.060	94.340	196.03	404.79
mariadb-10.2.13     	1.2200	1.4500	1.6600	2.8100	5.4900	10.880	21.550	45.870	95.390	196.94	402.68
mariadb-10.3.0      	1.2300	1.4800	1.6900	2.8100	5.5500	11.060	21.830	45.480	96.210	197.86	405.66
mariadb-10.3.1      	1.2500	1.4800	1.7200	2.8700	5.6900	11.200	22.260	47.550	98.490	201.54	414.83
mariadb-10.3.2      	1.3300	1.4900	1.6900	2.8500	5.6200	11.150	22.040	46.340	97.700	202.17	412.45
mariadb-10.3.4      	1.2700	1.5700	1.7400	2.8900	5.7000	11.280	22.280	47.700	98.080	201.38	408.37
mariadb-10.3.5      	1.2700	1.5900	1.7300	2.8800	5.6700	11.270	22.230	47.040	98.280	199.40	403.59
